,Postcode,Borough,Street,Latitude,Longitude,Coordinates,Clusters
0,01-355,Bemowo,os. Przyjaźń,52.2374,20.9164,"52.2374, 20.9164",9
1,01-362,Bemowo,pl. Kasztelański,52.2317,20.9159,"52.2317, 20.9159",11
2,01-483,Bemowo,ul. A. B. Dobrowolskiego,52.2577,20.8922,"52.2577, 20.8922",9
3,01-464,Bemowo,ul. A. Bożka,52.2424,20.916,"52.2424, 20.916",9
4,01-480,Bemowo,ul. A. Einsteina,52.2541,20.8921,"52.2541, 20.8921",9
5,01-473,Bemowo,ul. A. Kocjana,52.2508,20.8778,"52.2508, 20.8778",9
6,01-391,Bemowo,ul. A. Krzywoń,52.2279,20.9179,"52.2279, 20.9179",11
7,01-494,Bemowo,ul. A. Sołtana,52.2546,20.9331,"52.2546, 20.9331",23
8,01-318,Bemowo,ul. A. Świętochowskiego,52.2342,20.9011,"52.2342, 20.9011",11
9,01-497,Bemowo,ul. Afrodyty,52.2497,20.9097,"52.2497, 20.9097",9
10,01-491,Bemowo,ul. Akantu,52.2636,20.9054,"52.2636, 20.9054",9
11,01-493,Bemowo,ul. Andyjska,52.2529,20.9174,"52.2529, 20.9174",9
12,01-481,Bemowo,ul. Archimedesa,52.2553,20.8915,"52.2553, 20.8915",9
13,01-466,Bemowo,ul. Babimojska,52.2471,20.9185,"52.2471, 20.9185",9
14,01-305,Bemowo,ul. Batalionów Chłopskich,52.2306,20.8938,"52.2306, 20.8938",11
15,01-308,Bemowo,ul. Batalionów Chłopskich,52.2322,20.8935,"52.2322, 20.8935",11
16,01-307,Bemowo,ul. Batalionów Chłopskich,52.2304,20.8905,"52.2304, 20.8905",11
17,01-366,Bemowo,ul. Batalionu „Miotła”,52.2325,20.9202,"52.2325, 20.9202",11
18,01-487,Bemowo,ul. Bawełniana,52.2649,20.8993,"52.2649, 20.8993",9
19,01-461,Bemowo,ul. Bogatyńska,52.2433,20.9203,"52.2433, 20.9203",9
20,01-354,Bemowo,ul. Borowej Góry,52.2245,20.9171,"52.2245, 20.9171",11
21,01-384,Bemowo,ul. Brygadzistów,52.2242,20.9102,"52.2242, 20.9102",11
22,01-319,Bemowo,ul. Chrzanowska,52.2186,20.8988,"52.2186, 20.8988",11
23,01-472,Bemowo,ul. Cieplarniana,52.2509,20.8741,"52.2509, 20.8741",9
24,01-360,Bemowo,ul. Człuchowska,52.2288,20.9114,"52.2288, 20.9114",11
25,01-482,Bemowo,ul. D. Mendelejewa,52.257,20.8914,"52.257, 20.8914",9
26,01-490,Bemowo,ul. Dostępna,52.2614,20.904,"52.2614, 20.904",9
27,01-361,Bemowo,ul. Drogomilska,52.2313,20.9129,"52.2313, 20.9129",11
