,Clusters,Postcode,Borough,Postcode Latitude,Postcode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,1,04-883,Wawer,52.179219696969696,21.185115151515152,K&M Delikatesy,52.18170423991013,21.19020072514624,Grocery Store
1,1,04-883,Wawer,52.179219696969696,21.185115151515152,Take Sushi,52.188002670091684,21.18435760557341,Sushi Restaurant
2,1,04-883,Wawer,52.179219696969696,21.185115151515152,McDonald's,52.18227737520838,21.18948430807443,Fast Food Restaurant
3,1,04-883,Wawer,52.179219696969696,21.185115151515152,Tesco Radość,52.18256098235675,21.192114994555862,Grocery Store
4,1,04-883,Wawer,52.179219696969696,21.185115151515152,Biedronka,52.173751,21.200156,Grocery Store
5,1,04-883,Wawer,52.179219696969696,21.185115151515152,Radość na talerzu,52.181672942456146,21.18993556249981,Bistro
6,1,04-883,Wawer,52.179219696969696,21.185115151515152,Outlet Piwny,52.181882032633744,21.190289613169334,Beer Store
7,1,04-883,Wawer,52.179219696969696,21.185115151515152,Palarnia U Schnelli,52.1742997895997,21.18636922038185,Park
8,1,04-883,Wawer,52.179219696969696,21.185115151515152,Kala Fitness,52.182597661793814,21.191562436393536,Athletics & Sports
9,1,04-883,Wawer,52.179219696969696,21.185115151515152,Stadion Radość,52.175109784826724,21.190414487047395,Soccer Field
10,1,04-883,Wawer,52.179219696969696,21.185115151515152,City Kebab,52.184480883451975,21.188028176900428,Kebab Restaurant
11,1,04-883,Wawer,52.179219696969696,21.185115151515152,Sushi House,52.18418817854926,21.19011790486325,Sushi Restaurant
12,1,04-883,Wawer,52.179219696969696,21.185115151515152,Klub Tenisowy Radość 90,52.18513813001402,21.17966331547182,Tennis Court
13,1,04-883,Wawer,52.179219696969696,21.185115151515152,Netto,52.18678626260638,21.18764384888542,Discount Store
14,1,04-883,Wawer,52.179219696969696,21.185115151515152,Przystanek Autobusowy Majerankowa,52.17244903709414,21.178020253411102,Tree
15,1,04-883,Wawer,52.179219696969696,21.185115151515152,Palarnia Na Bajkowej,52.18789056873697,21.176646835369972,Fast Food Restaurant
16,1,04-883,Wawer,52.179219696969696,21.185115151515152,VAPE SPOT,52.18789707976896,21.176438591320586,Fast Food Restaurant
17,1,04-883,Wawer,52.179219696969696,21.185115151515152,Rossmann,52.17393831608686,21.199842611661513,Drugstore
18,2,04-903,Wawer,52.16798928571428,21.211948214285716,Sushi Sakaba,52.163235252888626,21.207972968005834,Sushi Restaurant
19,2,04-903,Wawer,52.16798928571428,21.211948214285716,"Cukiernia ""Meryk""",52.17001083632843,21.202289677730594,Dessert Shop
20,2,04-903,Wawer,52.16798928571428,21.211948214285716,Hotel Boss,52.171468,21.206522,Hotel
21,2,04-903,Wawer,52.16798928571428,21.211948214285716,Klubokawiarnia Falenica,52.16206311145851,21.211106287427683,Coffee Shop
22,2,04-903,Wawer,52.16798928571428,21.211948214285716,Lidl,52.165874,21.205811,Grocery Store
23,2,04-903,Wawer,52.16798928571428,21.211948214285716,Bazarek w Falenicy,52.16158658351196,21.215393543243408,Farmers Market
24,2,04-903,Wawer,52.16798928571428,21.211948214285716,Warszawa Falenica,52.16161121376798,21.21130178257867,Train Station
25,2,04-903,Wawer,52.16798928571428,21.211948214285716,Biedronka,52.173751,21.200156,Grocery Store
26,2,04-903,Wawer,52.16798928571428,21.211948214285716,Restauracja Malinowa,52.17127930884099,21.20664007527694,Restaurant
27,2,04-903,Wawer,52.16798928571428,21.211948214285716,Delikatesy,52.162594,21.216466,Grocery Store
28,2,04-903,Wawer,52.16798928571428,21.211948214285716,Żabka,52.16411654604895,21.219889612933294,Convenience Store
29,2,04-903,Wawer,52.16798928571428,21.211948214285716,Sklep Spożywczy WSH Fala,52.161833,21.213795,Grocery Store
30,2,04-903,Wawer,52.16798928571428,21.211948214285716,Andrzej Kozak,52.164165,21.220694,Cupcake Shop
31,2,04-903,Wawer,52.16798928571428,21.211948214285716,Sklep Alkohole Świata,52.160794557593384,21.211663857881476,Liquor Store
32,2,04-903,Wawer,52.16798928571428,21.211948214285716,Warszawa Miedzeszyn,52.171294424083094,21.201312489732945,Train Station
33,2,04-903,Wawer,52.16798928571428,21.211948214285716,Falenicki Lasek,52.1625383955532,21.222246472656657,Park
34,2,04-903,Wawer,52.16798928571428,21.211948214285716,M&L Delikatesy,52.17216000573474,21.200031287460913,Deli / Bodega
35,2,04-903,Wawer,52.16798928571428,21.211948214285716,Rossmann,52.17393831608686,21.199842611661513,Drugstore
36,2,04-903,Wawer,52.16798928571428,21.211948214285716,La Repubblica,52.15809631347656,21.21603775024414,Italian Restaurant
37,3,04-744,Wawer,52.21056896551724,21.19396206896552,Kawa i chili,52.20667534588702,21.178419130042315,Mexican Restaurant
38,3,04-744,Wawer,52.21056896551724,21.19396206896552,Hotel Patron,52.205122324768496,21.189536122018755,Hotel
39,3,04-744,Wawer,52.21056896551724,21.19396206896552,Capri,52.206944,21.178659,Italian Restaurant
40,3,04-744,Wawer,52.21056896551724,21.19396206896552,Prawie Hotel,52.20392081881432,21.180398819756864,Hostel
41,4,04-632,Wawer,52.20822253521126,21.169380281690138,Florapoint,52.21231564549053,21.1598492725885,Flower Shop
42,4,04-632,Wawer,52.20822253521126,21.169380281690138,Peron Cafe,52.20355349887317,21.168408625189677,Café
43,4,04-632,Wawer,52.20822253521126,21.169380281690138,Burger Point,52.203635913859955,21.168538400564035,Burger Joint
44,4,04-632,Wawer,52.20822253521126,21.169380281690138,Stacja Wawer,52.2060431949671,21.169055873024977,Restaurant
45,4,04-632,Wawer,52.20822253521126,21.169380281690138,Calypso Fitness Club Wawer,52.20659200266447,21.167708680273382,Gym
46,4,04-632,Wawer,52.20822253521126,21.169380281690138,Warszawa Międzylesie,52.204486890131676,21.168194711208344,Train Station
47,4,04-632,Wawer,52.20822253521126,21.169380281690138,7th Street,52.205862,21.16845,American Restaurant
48,4,04-632,Wawer,52.20822253521126,21.169380281690138,CH Ferio Wawer,52.20744888089474,21.166963577270508,Shopping Mall
49,4,04-632,Wawer,52.20822253521126,21.169380281690138,Kawa i chili,52.20667534588702,21.178419130042315,Mexican Restaurant
50,4,04-632,Wawer,52.20822253521126,21.169380281690138,Biedronka,52.2040147216691,21.164407462064535,Supermarket
51,4,04-632,Wawer,52.20822253521126,21.169380281690138,Lidl,52.206768123209415,21.172897188065374,Food & Drink Shop
52,4,04-632,Wawer,52.20822253521126,21.169380281690138,Topaz,52.206717,21.168367,Grocery Store
53,4,04-632,Wawer,52.20822253521126,21.169380281690138,Egurrola Dance Studio,52.206511945521925,21.167674246274146,Salsa Club
54,4,04-632,Wawer,52.20822253521126,21.169380281690138,Apteka Dr. Max,52.20424492174634,21.168106199142077,Pharmacy
55,4,04-632,Wawer,52.20822253521126,21.169380281690138,jadalnia,52.203527,21.168376,Diner
56,4,04-632,Wawer,52.20822253521126,21.169380281690138,Capri,52.206944,21.178659,Italian Restaurant
57,4,04-632,Wawer,52.20822253521126,21.169380281690138,Przystanek Instytut Kardiologii,52.217692060011174,21.164711281543575,Bus Station
58,5,04-786,Wawer,52.191335135135134,21.141662162162163,DoubleTree by Hilton,52.185424138914335,21.141897238253158,Hotel
59,5,04-786,Wawer,52.191335135135134,21.141662162162163,Cukiernia Mytlewski,52.19602918547137,21.136195842918724,Café
60,5,04-786,Wawer,52.191335135135134,21.141662162162163,Trattoria W Trakcie,52.197916599241516,21.1352307459224,Italian Restaurant
61,5,04-786,Wawer,52.191335135135134,21.141662162162163,Garden Restaurant,52.185693109003566,21.141262175656852,Polish Restaurant
62,5,04-786,Wawer,52.191335135135134,21.141662162162163,Przystanek Borków,52.19002477437144,21.14081948755781,Bus Stop
63,5,04-786,Wawer,52.191335135135134,21.141662162162163,sklep Borków,52.19043835633206,21.145379020844572,Food & Drink Shop
64,5,04-786,Wawer,52.191335135135134,21.141662162162163,przystanek cylichowka 02,52.1941317989135,21.13790561393271,Bus Stop
